YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2023;7;CHAMBERI;Número de Habitantes;Mujeres;77055
2019;8;FUENCARRAL-EL PARDO;Número de Habitantes;TOTAL;246021
2019;8;FUENCARRAL-EL PARDO;Número de Habitantes;Hombres;115797
2019;8;FUENCARRAL-EL PARDO;Número de Habitantes;Mujeres;130224
2020;8;FUENCARRAL-EL PARDO;Número de Habitantes;TOTAL;248684
2020;8;FUENCARRAL-EL PARDO;Número de Habitantes;Hombres;117006
2020;8;FUENCARRAL-EL PARDO;Número de Habitantes;Mujeres;131678
2021;8;FUENCARRAL-EL PARDO;Número de Habitantes;TOTAL;248684
2021;8;FUENCARRAL-EL PARDO;Número de Habitantes;Hombres;117006
2021;8;FUENCARRAL-EL PARDO;Número de Habitantes;Mujeres;131678
2022;8;FUENCARRAL-EL PARDO;Número de Habitantes;TOTAL;246281
2022;8;FUENCARRAL-EL PARDO;Número de Habitantes;Hombres;115955
2022;8;FUENCARRAL-EL PARDO;Número de Habitantes;Mujeres;130326
2023;8;FUENCARRAL-EL PARDO;Número de Habitantes;TOTAL;248443
2023;8;FUENCARRAL-EL PARDO;Número de Habitantes;Hombres;116944
2023;8;FUENCARRAL-EL PARDO;Número de Habitantes;Mujeres;131499
2019;9;MONCLOA-ARAVACA;Número de Habitantes;TOTAL;119423
2019;9;MONCLOA-ARAVACA;Número de Habitantes;Hombres;54934
2019;9;MONCLOA-ARAVACA;Número de Habitantes;Mujeres;64489
2020;9;MONCLOA-ARAVACA;Número de Habitantes;TOTAL;121368
2020;9;MONCLOA-ARAVACA;Número de Habitantes;Hombres;55867
2020;9;MONCLOA-ARAVACA;Número de Habitantes;Mujeres;65501
2021;9;MONCLOA-ARAVACA;Número de Habitantes;TOTAL;121368
2021;9;MONCLOA-ARAVACA;Número de Habitantes;Hombres;55867
2021;9;MONCLOA-ARAVACA;Número de Habitantes;Mujeres;65501
2022;9;MONCLOA-ARAVACA;Número de Habitantes;TOTAL;120360
2022;9;MONCLOA-ARAVACA;Número de Habitantes;Hombres;55501
2022;9;MONCLOA-ARAVACA;Número de Habitantes;Mujeres;64859
2023;9;MONCLOA-ARAVACA;Número de Habitantes;TOTAL;121757
2023;9;MONCLOA-ARAVACA;Número de Habitantes;Hombres;56357
2023;9;MONCLOA-ARAVACA;Número de Habitantes;Mujeres;65400
2019;10;LATINA;Número de Habitantes;TOTAL;238154
2019;10;LATINA;Número de Habitantes;Hombres;110401
2019;10;LATINA;Número de Habitantes;Mujeres;127753
2020;10;LATINA;Número de Habitantes;TOTAL;241144
2020;10;LATINA;Número de Habitantes;Hombres;111708
2020;10;LATINA;Número de Habitantes;Mujeres;129436
2021;10;LATINA;Número de Habitantes;TOTAL;241144
2021;10;LATINA;Número de Habitantes;Hombres;111708
2021;10;LATINA;Número de Habitantes;Mujeres;129436
2022;10;LATINA;Número de Habitantes;TOTAL;237048
2022;10;LATINA;Número de Habitantes;Hombres;109928
2022;10;LATINA;Número de Habitantes;Mujeres;127120
2023;10;LATINA;Número de Habitantes;TOTAL;241672
2023;10;LATINA;Número de Habitantes;Hombres;112093
2023;10;LATINA;Número de Habitantes;Mujeres;129579
2019;11;CARABANCHEL;Número de Habitantes;TOTAL;253040
2019;11;CARABANCHEL;Número de Habitantes;Hombres;117802
2019;11;CARABANCHEL;Número de Habitantes;Mujeres;135238
2020;11;CARABANCHEL;Número de Habitantes;TOTAL;259757
2020;11;CARABANCHEL;Número de Habitantes;Hombres;121138
2020;11;CARABANCHEL;Número de Habitantes;Mujeres;138619
2021;11;CARABANCHEL;Número de Habitantes;TOTAL;259757
2021;11;CARABANCHEL;Número de Habitantes;Hombres;121138
2021;11;CARABANCHEL;Número de Habitantes;Mujeres;138619
2022;11;CARABANCHEL;Número de Habitantes;TOTAL;255514
2022;11;CARABANCHEL;Número de Habitantes;Hombres;119381
2022;11;CARABANCHEL;Número de Habitantes;Mujeres;136133
2023;11;CARABANCHEL;Número de Habitantes;TOTAL;262339
2023;11;CARABANCHEL;Número de Habitantes;Hombres;122632
2023;11;CARABANCHEL;Número de Habitantes;Mujeres;139707
2019;12;USERA;Número de Habitantes;TOTAL;139501
2019;12;USERA;Número de Habitantes;Hombres;65781
2019;12;USERA;Número de Habitantes;Mujeres;73720
2020;12;USERA;Número de Habitantes;TOTAL;143087
2020;12;USERA;Número de Habitantes;Hombres;67514
2020;12;USERA;Número de Habitantes;Mujeres;75573
2021;12;USERA;Número de Habitantes;TOTAL;143087
2021;12;USERA;Número de Habitantes;Hombres;67514
2021;12;USERA;Número de Habitantes;Mujeres;75573
2022;12;USERA;Número de Habitantes;TOTAL;140808
2022;12;USERA;Número de Habitantes;Hombres;66532
2022;12;USERA;Número de Habitantes;Mujeres;74276
2023;12;USERA;Número de Habitantes;TOTAL;142746
2023;12;USERA;Número de Habitantes;Hombres;67538
2023;12;USERA;Número de Habitantes;Mujeres;75208
2019;13;PUENTE DE VALLECAS;Número de Habitantes;TOTAL;234770
2019;13;PUENTE DE VALLECAS;Número de Habitantes;Hombres;111183
2019;13;PUENTE DE VALLECAS;Número de Habitantes;Mujeres;123587
2020;13;PUENTE DE VALLECAS;Número de Habitantes;TOTAL;240067
2020;13;PUENTE DE VALLECAS;Número de Habitantes;Hombres;113828
2020;13;PUENTE DE VALLECAS;Número de Habitantes;Mujeres;126239
2021;13;PUENTE DE VALLECAS;Número de Habitantes;TOTAL;240067
2021;13;PUENTE DE VALLECAS;Número de Habitantes;Hombres;113828
2021;13;PUENTE DE VALLECAS;Número de Habitantes;Mujeres;126239
2022;13;PUENTE DE VALLECAS;Número de Habitantes;TOTAL;235638
2022;13;PUENTE DE VALLECAS;Número de Habitantes;Hombres;111748
2022;13;PUENTE DE VALLECAS;Número de Habitantes;Mujeres;123890
2023;13;PUENTE DE VALLECAS;Número de Habitantes;TOTAL;241603
2023;13;PUENTE DE VALLECAS;Número de Habitantes;Hombres;114542
2023;13;PUENTE DE VALLECAS;Número de Habitantes;Mujeres;127061
2019;14;MORATALAZ;Número de Habitantes;TOTAL;94609
2019;14;MORATALAZ;Número de Habitantes;Hombres;43209
2019;14;MORATALAZ;Número de Habitantes;Mujeres;51400
2020;14;MORATALAZ;Número de Habitantes;TOTAL;94203
2020;14;MORATALAZ;Número de Habitantes;Hombres;42858
2020;14;MORATALAZ;Número de Habitantes;Mujeres;51345
2021;14;MORATALAZ;Número de Habitantes;TOTAL;94203
2021;14;MORATALAZ;Número de Habitantes;Hombres;42858
2021;14;MORATALAZ;Número de Habitantes;Mujeres;51345
2022;14;MORATALAZ;Número de Habitantes;TOTAL;92390
2022;14;MORATALAZ;Número de Habitantes;Hombres;42095
2022;14;MORATALAZ;Número de Habitantes;Mujeres;50295
2023;14;MORATALAZ;Número de Habitantes;TOTAL;92814
2023;14;MORATALAZ;Número de Habitantes;Hombres;42212
2023;14;MORATALAZ;Número de Habitantes;Mujeres;50602
2019;15;CIUDAD LINEAL;Número de Habitantes;TOTAL;216270
2019;15;CIUDAD LINEAL;Número de Habitantes;Hombres;98370
2019;15;CIUDAD LINEAL;Número de Habitantes;Mujeres;117900
2020;15;CIUDAD LINEAL;Número de Habitantes;TOTAL;217816
2020;15;CIUDAD LINEAL;Número de Habitantes;Hombres;99004
